epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.028,0.01896,6.47627,1.39252,0,0,0,0,0.01809,6.20012,1.0618,0.000657143,0.000657143,0.000657143
2,61.4395,0.02042,5.84571,1.22552,0,0,0,0,0.01766,4.86972,1.18724,0.00127615,0.00127615,0.00127615
3,91.3287,0.02104,5.39131,1.29868,0,0,0,0,0.01715,4.4802,1.16572,0.00184716,0.00184716,0.00184716
4,121.807,0.02131,4.59744,1.30885,0,0,0,0,0.01709,3.96995,1.14486,0.001784,0.001784,0.001784
5,152.413,0.02249,3.90504,1.41076,0,0,0,0,0.01733,4.10786,1.12471,0.001712,0.001712,0.001712
6,183.13,0.02211,3.87314,1.36181,0,0,0,0,0.01754,3.99579,1.17395,0.00164,0.00164,0.00164
7,213.778,0.02143,3.88874,1.1844,0,0,0,0,0.01711,3.74985,1.05926,0.001568,0.001568,0.001568
8,244.171,0.02009,3.76562,1.17813,0.62945,0.00337,0.17056,0.08528,0.0162,3.56456,1.05433,0.001496,0.001496,0.001496
9,277.17,0.01892,3.35558,1.17676,0.5,0.03704,0.26254,0.11059,0.01574,4.07287,1.01733,0.001424,0.001424,0.001424
10,313.871,0.02,3.28936,1.19857,0,0,0,0,0.01568,3.41431,1.0247,0.001352,0.001352,0.001352
11,350.477,0.01771,3.37118,1.02741,0.41667,0.03367,0.22689,0.11141,0.01607,3.10228,1.08509,0.00128,0.00128,0.00128
12,386.879,0.02272,3.12983,1.35298,0.41935,0.08754,0.23982,0.10005,0.01555,2.92602,1.10111,0.001208,0.001208,0.001208
13,423.219,0.02152,2.94776,1.13672,0.45455,0.06734,0.25035,0.10929,0.0161,2.84195,1.06341,0.001136,0.001136,0.001136
14,459.941,0.01882,2.8907,1.08734,0.36207,0.14141,0.22726,0.07587,0.0159,3.00814,1.08049,0.001064,0.001064,0.001064
15,496.245,0.01964,2.77112,1.1829,0.37975,0.10101,0.22911,0.08885,0.01559,2.90298,1.03521,0.000992,0.000992,0.000992
16,531.858,0.01222,2.72485,0.77716,0.45098,0.07744,0.25492,0.08401,0.01532,2.69268,1.03906,0.00092,0.00092,0.00092
17,568.996,0.01383,2.58361,0.92936,0.39726,0.09764,0.23549,0.09091,0.0152,2.56196,1.05149,0.000848,0.000848,0.000848
18,608.112,0.01483,2.57781,1.00899,0.27891,0.13805,0.19376,0.09795,0.01458,2.58692,0.99092,0.000776,0.000776,0.000776
19,643.972,0.0137,2.4652,0.9409,0.3169,0.15152,0.21735,0.10919,0.0146,2.48979,0.98682,0.000704,0.000704,0.000704
20,679.756,0.01211,2.27099,0.87038,0.32322,0.16835,0.20134,0.07395,0.01517,2.84565,1.03463,0.000632,0.000632,0.000632
21,716.07,0.01409,2.38091,0.93325,0.41053,0.13131,0.25817,0.10019,0.01505,2.3115,1.01264,0.00056,0.00056,0.00056
22,754.69,0.01278,2.3588,0.8548,0.45709,0.14815,0.22806,0.08685,0.01532,2.63214,1.01456,0.000488,0.000488,0.000488
23,791.775,0.01327,2.38688,0.89657,0.384,0.16162,0.25777,0.10049,0.01526,2.47764,1.0191,0.000416,0.000416,0.000416
24,830.297,0.01153,2.27394,0.78794,0.4875,0.13131,0.29267,0.10805,0.01527,2.28368,1.02496,0.000344,0.000344,0.000344
25,866.374,0.01484,2.40161,0.94395,0.55769,0.09764,0.31728,0.12795,0.01511,2.18406,1.01647,0.000272,0.000272,0.000272
