epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4921,0.02023,6.05219,1.64341,0,0,0,0,0.01663,5.83301,1.04277,0.000647619,0.000647619,0.000647619
2,30.8901,0.02396,5.53233,1.50441,0,0,0,0,0.01962,5.95056,1.10025,0.00126697,0.00126697,0.00126697
3,47.2249,0.02266,4.54599,1.28945,0,0,0,0,0.02006,6.39666,1.18973,0.00183832,0.00183832,0.00183832
4,63.4344,0.02617,4.96092,1.39376,0,0,0,0,0.01962,5.12128,1.17933,0.001784,0.001784,0.001784
5,78.4656,0.02783,4.66313,1.46956,0,0,0,0,0.01885,4.42312,1.2074,0.001712,0.001712,0.001712
6,93.4839,0.02525,4.47524,1.33364,0,0,0,0,0.01835,3.99451,1.14946,0.00164,0.00164,0.00164
7,108.723,0.02413,4.38449,1.37219,0,0,0,0,0.01755,4.01422,1.12777,0.001568,0.001568,0.001568
8,123.955,0.02401,3.97745,1.37517,0,0,0,0,0.01777,4.36632,1.11003,0.001496,0.001496,0.001496
9,138.924,0.02362,4.17532,1.4276,0,0,0,0,0.01802,4.37112,1.1229,0.001424,0.001424,0.001424
10,154.195,0.02203,3.99541,1.27503,0,0,0,0,0.01812,3.99507,1.07769,0.001352,0.001352,0.001352
11,169.364,0.02582,4.22499,1.44554,0,0,0,0,0.01797,3.81458,1.03647,0.00128,0.00128,0.00128
12,184.563,0.02465,3.44819,1.40708,0,0,0,0,0.01842,4.0918,1.04945,0.001208,0.001208,0.001208
13,199.846,0.02462,3.52358,1.29933,0,0,0,0,0.01848,4.24043,1.06243,0.001136,0.001136,0.001136
14,215.081,0.02356,3.56146,1.34467,0,0,0,0,0.01721,4.14217,1.00637,0.001064,0.001064,0.001064
15,230.3,0.02471,3.80539,1.43474,0,0,0,0,0.01724,3.98973,1.03099,0.000992,0.000992,0.000992
16,245.662,0.01646,4.23423,0.96754,0,0,0,0,0.01725,3.84488,1.06163,0.00092,0.00092,0.00092
17,263.175,0.01451,4.10647,0.85817,0,0,0,0,0.01675,3.79838,1.04372,0.000848,0.000848,0.000848
18,281.588,0.01327,4.158,0.77468,0,0,0,0,0.01646,3.79571,1.02042,0.000776,0.000776,0.000776
19,300.158,0.0164,3.9332,0.98034,0,0,0,0,0.01628,3.83818,1.01036,0.000704,0.000704,0.000704
20,318.309,0.01546,3.91116,0.93512,0,0,0,0,0.0161,3.87188,0.99195,0.000632,0.000632,0.000632
21,336.403,0.01385,3.84513,0.82152,0,0,0,0,0.01654,3.90689,1.00295,0.00056,0.00056,0.00056
22,354.647,0.01545,3.64487,0.88168,0,0,0,0,0.01656,3.80233,1.00628,0.000488,0.000488,0.000488
23,372.916,0.01601,3.739,0.90139,0,0,0,0,0.01669,3.7382,1.01285,0.000416,0.000416,0.000416
24,391.284,0.014,3.75094,0.79606,0,0,0,0,0.01683,3.68543,1.01942,0.000344,0.000344,0.000344
25,409.307,0.01663,3.42875,0.97193,0,0,0,0,0.01687,3.64111,1.02343,0.000272,0.000272,0.000272
